Data;NUMDIAS;PRECIPITACAOTOTAL;TEMPERATURAMEDIA;ANO
2014/01/31;16;223,0;25;2014
2014/02/28;14;188,8;25;2014
2014/03/31;18;212,6;23;2014
2014/04/30;8;77,2;21;2014
2014/05/31;6;50,2;19;2014
2014/06/30;5;9,8;18;2014
2014/07/31;4;NA;17;2014
2014/08/31;6;31,6;18;2014
2014/09/30;12;60,6;20;2014
2014/10/31;8;25,0;21;2014
2014/11/30;13;119,6;21;2014
2014/12/31;15;207,8;23;2014
2015/01/31;19;158,4;25;2015
2015/02/28;17;268,4;23;2015
2015/03/31;19;327,8;22;2015
2015/04/30;9;105,4;21;2015
2015/05/31;10;50,8;18;2015
2015/06/30;9;21,2;18;2015
2015/07/31;11;66,8;18;2015
2015/08/31;7;30,8;20;2015
2015/09/30;13;202,4;21;2015
2015/10/31;11;90,6;22;2015
2015/11/30;22;253,0;22;2015
2015/12/31;21;315,0;23;2015
2016/01/31;18;181,8;23;2016
2016/02/29;15;NA;24;2016
2016/03/31;16;249,8;23;2016
2016/04/30;3;2,4;24;2016
2016/05/31;11;106,4;18;2016
2016/06/30;12;197,6;15;2016
2016/07/31;2;6,4;18;2016
2016/08/31;7;84,0;18;2016
2016/09/30;6;22,2;18;2016
2016/10/31;14;103,2;20;2016
2016/11/30;19;174,2;21;2016
2016/12/31;14;163,0;23;2016
