"Reference","Latitude","Longitude"
"TBM1996032006",27.9105,-82.620167
"TBM1996032004",27.855333,-82.5545
"TBM1996032207",27.926667,-82.533167
"TBM1996042601",27.982667,-82.6925
"TBM1996051312",27.861,-82.592667
"TBM1996051407",27.915333,-82.605167
"TBM1996051415",27.936333,-82.676167
"TBM1996032209",27.970167,-82.640833
"TBM1996041807",27.863167,-82.544333
"TBM1996042602",27.955667,-82.719833
"TBM1996022010",27.945833,-82.724167
"TBM1996022104",27.870167,-82.540833
"TBM1996051405",27.962167,-82.597833
"TBM1996061304",27.872833,-82.609833
"TBM1996042603",27.909667,-82.643333
"TBM1996080603",27.910167,-82.632667
"TBM1996080604",27.906167,-82.638167
"TBM1996061402",27.982333,-82.692667
"TBM1996062104",27.966,-82.575333
"TBM1996062001",27.969667,-82.616
"TBM1996071110",27.984833,-82.611
"TBM1996081408",27.951833,-82.712167
"TBM1996081515",27.915833,-82.6825
"TBM1996091709",28.008,-82.671167
"TBM1996022007",28.003333,-82.666167
"TBM1996022014",27.945333,-82.641333
"TBM1996061301",27.874667,-82.602167
"TBM2003101710",27.922567,-82.687733
"TBM2003111010",27.923017,-82.68765
"TBM2003111013",27.942417,-82.712067
"TBM2003111305",27.865383,-82.59875
"TBM2003120204",27.91975,-82.688
"TBM2003120611",27.9307,-82.683933
"TBM2003111713",27.94905,-82.54825
"TBM1996061917",27.852333,-82.595667
"TBM1996071105",27.967333,-82.575667
"TBM1996011905",27.991667,-82.684167
"TBM1996081407",27.922,-82.624167
"TBM1996091705",27.931333,-82.7025
"TBM1996051508",28.004167,-82.655667
"TBM1996022008",27.974167,-82.6375
"TBM1996032101",28.0185,-82.6815
"TBM1996032205",27.946333,-82.5445
"TBM1996041808",27.87,-82.537167
"TBM1996042404",27.845667,-82.555
"TBM1996051505",27.942,-82.545333
"TBM1996011804",27.866,-82.542833
"TBM1996011809",27.963167,-82.590833
"TBM1996011802",27.8765,-82.535833
"TBM1996041703",27.986667,-82.6335
"TBM1996022101",27.884167,-82.620833
"TBM1996032204",27.958167,-82.571
"TBM1996041702",27.976167,-82.689
"TBM1996041709",27.944833,-82.544167
"TBM1996051416",27.960333,-82.698833
"TBM1996051704",27.8275,-82.591667
"TBM1996011801",27.8835,-82.535833
"TBM1996011812",27.956833,-82.705667
"TBM1996041708",27.961667,-82.565833
"TBM1996072207",28.0025,-82.655167
"TBM1996072208",27.994833,-82.676167
"TBM1996091104",27.883167,-82.533667
"TBM1996061910",27.83,-82.584833
"TBM1996072201",27.9725,-82.614333
"TBM2003111304",27.86395,-82.545417
"TBM2003111708",27.877783,-82.61195
"TBM1996081405",27.981833,-82.606833
"TBM2003101703",27.91335,-82.64145
"TBM2003111710",27.960317,-82.54945
"TBM2003120202",27.9053,-82.6373
"TBM2003120203",27.91365,-82.669517
"TBM2003120205",27.9653,-82.692917
"TBM2003120609",27.924567,-82.687817
"TBM1996072209",27.987667,-82.652333
"TBM1996062013",27.929333,-82.661167
"TBM1996091708",28.002333,-82.664667
"TBM1996090602",27.909167,-82.6435
"TBM1996091701",27.946,-82.6375
"TBM1996101008",27.881167,-82.539167
"TBM1996101710",27.9685,-82.686333
"TBM1996110402",27.954833,-82.721167
"TBM1996112022",27.961833,-82.571
"TBM1996101108",27.92,-82.6885
"TBM1996112028",27.9165,-82.683167
"TBM1996121110",27.921333,-82.697333
"TBM1996101707",27.989167,-82.675
"TBM1996120603",27.8265,-82.591333
"TBM1996121101",27.9975,-82.659
"TBM1996112107",27.879167,-82.613
"TBM1996101004",27.874167,-82.596667
"TBM1996110403",27.922333,-82.696333
"TBM1997011520",27.92,-82.688
